0.00	0.00	2	10
0.00	0.16	3	9
0.00	0.24	4	8
0.00	0.37	5	7
0.00	0.44	6	6
0.00	0.52	7	5
0.00	0.68	8	4
0.00	0.73	9	3
0.00	0.80	10	2
0.00	0.92	9	2
0.00	1.00	8	3
0.00	1.16	7	4
0.00	1.29	6	5
0.00	1.37	5	6
0.00	1.44	4	7
0.00	1.55	3	8
0.00	1.68	2	9
0.00	1.73	3	10
0.00	1.89	3	4
0.00	1.92	4	4
0.00	2.07	5	6
0.00	2.16	6	2
0.00	2.24	3	3
0.00	2.31	4	10
0.00	2.44	2	4
0.00	2.52	10	6
0.00	2.68	7	5
0.00	2.73	8	7
0.00	2.80	9	3
0.00	2.92	3	4
0.00	3.00	2	6
0.00	3.11	5	7
0.00	3.16	6	10
0.00	3.31	9	9
0.00	3.37	2	2
0.00	3.44	4	4
0.00	3.52	10	5
0.00	3.68	10	10
0.00	3.76	6	5
0.00	3.89	6	7
0.00	3.92	3	4
0.00	4.07	5	2
0.00	4.16	7	7
0.00	4.29	8	5
0.00	4.37	7	8
0.00	4.44	4	9
0.00	4.52	2	4
0.00	4.61	2	2
0.00	4.73	4	3
0.00	4.89	8	10
0.00	4.92	5	7
0.00	5.00	7	4
0.24	0.00	2	10
0.24	0.16	3	9
0.24	0.24	4	8
0.24	0.37	5	7
0.24	0.44	6	6
0.24	0.52	7	5
0.24	0.68	8	4
0.24	0.73	9	3
0.24	0.80	10	2
0.24	0.92	9	2
0.24	1.00	8	3
0.24	1.16	7	4
0.24	1.29	6	5
0.24	1.37	5	6
0.24	1.44	4	7
0.24	1.55	3	8
0.24	1.68	2	9
0.24	1.73	3	10
0.24	1.89	3	4
0.24	1.92	4	4
0.24	2.07	5	6
0.24	2.16	6	2
0.24	2.24	3	3
0.24	2.31	4	10
0.24	2.44	2	4
0.24	2.52	10	6
0.24	2.68	7	5
0.24	2.73	8	7
0.24	2.80	9	3
0.24	2.92	3	4
0.24	3.00	2	6
0.24	3.11	5	7
0.24	3.16	6	10
0.24	3.31	9	9
0.24	3.37	2	2
0.24	3.44	4	4
0.24	3.52	10	5
0.24	3.68	10	10
0.24	3.76	6	5
0.24	3.89	6	7
0.24	3.92	3	4
0.24	4.07	5	2
0.24	4.16	7	7
0.24	4.29	8	5
0.24	4.37	7	8
0.24	4.44	4	9
0.24	4.52	2	4
0.24	4.61	2	2
0.24	4.73	4	3
0.24	4.89	8	10
0.24	4.92	5	7
0.24	5.00	7	4
0.51	0.00	2	10
0.51	0.16	3	9
0.51	0.24	4	8
0.51	0.37	5	7
0.51	0.44	6	6
0.51	0.52	7	5
0.51	0.68	8	4
0.51	0.73	9	3
0.51	0.80	10	2
0.51	0.92	9	2
0.51	1.00	8	3
0.51	1.16	7	4
0.51	1.29	6	5
0.51	1.37	5	6
0.51	1.44	4	7
0.51	1.55	3	8
0.51	1.68	2	9
0.51	1.73	3	10
0.51	1.89	3	4
0.51	1.92	4	4
0.51	2.07	5	6
0.51	2.16	6	2
0.51	2.24	3	3
0.51	2.31	4	10
0.51	2.44	2	4
0.51	2.52	10	6
0.51	2.68	7	5
0.51	2.73	8	7
0.51	2.80	9	3
0.51	2.92	3	4
0.51	3.00	2	6
0.51	3.11	5	7
0.51	3.16	6	10
0.51	3.31	9	9
0.51	3.37	2	2
0.51	3.44	4	4
0.51	3.52	10	5
0.51	3.68	10	10
